"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"fd7d89190e5c165cf36284ea0fca46c98216328c","  30962","Oncorhynchus clarkii","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","   8098","Cottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus",""
"d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"e330f6d1a7768b21c34c1d9d6814f5b48c87b05a","   8167","Perca flavescens","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens"
"23c619d6fffd998ebd33fc4a32feda91287ea49e","  55153","Sciuridae","family","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"a56843c86d60d4423f69f4836868d31ea7eadf22","   8022","Oncorhynchus mykiss","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"5dbce0075732b37e517721c275ba3c2e14e50196","   9611","Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"f3d5863f9d49fc73652ae616bd0a22b9ab62d094"," 182677","Neurotrichus gibbsii","species",NA,"Metazoa","Chordata","Mammalia","Eulipotyphla","Talpidae","Neurotrichus","Neurotrichus gibbsii"
"de42666eb0e70e73c99b1061e5e4bfe4477204b5","   8022","Oncorhynchus mykiss","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"c6d586dc78d8ef5cac238cba2d5714407775bd69","  33213","Bilateria","clade",NA,"Metazoa","","","","","",""
"f5b5aded2ca74ffb7f6b02448ffa90a36de662df"," 337963","Neotominae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"e65f511d819ef32a2941c6d56d076a8616b71c25","   9606","Homo sapiens","species","0.9575","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"eccfd48eb4674a8cfcb69e95f0a2b4abc5a80ea8","   9612","Canis lupus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"63a7d0273f9bdd41fc062c411d5c529730a67ff1"," 337752","Sciurini","tribe","0.9996","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"ca4009e9f4961a466d717e77ddddcf64a374073d","   8830","Anatidae","family",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"c161735732d10ef81323d9b5812491897d2eb5ab"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"580a64b0134da56e49bf06482ed6ee164d8a6ec5","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"9a33de19684dd94fef15cc285fa6e9a6a7284e64"," 183663","Soricinae","subfamily","0.9997","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"da86e55cb2b03c4f47a877c184e63d907a48bc4e","   9072","Phasianinae","subfamily",NA,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"c51ba26786eb5812df3c3d681e5755e302ae36ac"," 123368","Acanthomorphata","clade","0.9866","Metazoa","Chordata","Actinopteri","","","",""
"3fa5cad0e8bd81303eed0492a7c0dd91d85747be","   9654","Procyon lotor","species","1.0000","Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor"
"6634733d917ef2fc77dd7e1780deb0c7f70bbb54","   9606","Homo sapiens","species","0.9988","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"09c6e1785ec090a52b290777a5058509454bf61f","      1","root","no rank","1.0000","","","","","","",""
"1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16","   9611","Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"0af50c9e935876232e242db91bb835235691bf3a","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"916f1fb4062ea2f4254f7fd3b7720aa778b7e367","   9606","Homo sapiens","species","0.9974","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"dac2b19876eb3a183e6d6768e2b44fb67055d79f","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"8001433422f2dfb9b7333084b5ae4a31130f34f2","   9653","Procyon","genus","1.0000","Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"8519a7f742cabfdb887dc2013feba40c4584b8db","   9267","Didelphis virginiana","species",NA,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana"
"406aec86258ef8821827fb46e2447a9aa2885cec","      1","root","no rank","1.0000","","","","","","",""
"94b310b913e0d26c0720e1775a3f2a7f2dd6af18","   9188","Turdus migratorius","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius"
"4be671e1ce0da6b1505cf3f3cbe98a49c6d2d7ff","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"ed6e1448c045fb5baaa6842d6fa9fbe45fe3925a","      1","root","no rank","1.0000","","","","","","",""
